2026/04/29 01:49:07 [warn] 243662#243662: *842 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 127.0.0.1, server: localhost, request: "POST /api/media/upload?for=post HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:3001/profile"
2026/04/29 02:05:04 [error] 243662#243662: *1419 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/chats HTTP/1.1", upstream: "http://127.0.0.1:8084/api/chats", host: "localhost:8080", referrer: "http://localhost:3001/chats?chatId=1"
2026/04/29 02:05:04 [error] 243662#243662: *1421 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 02:05:05 [error] 243662#243662: *1423 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 02:05:06 [error] 243662#243662: *1425 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/chats HTTP/1.1", upstream: "http://127.0.0.1:8084/api/chats", host: "localhost:8080", referrer: "http://localhost:3001/chats?chatId=1"
2026/04/29 02:05:09 [error] 243662#243662: *1427 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/chats HTTP/1.1", upstream: "http://127.0.0.1:8084/api/chats", host: "localhost:8080", referrer: "http://localhost:3001/chats?chatId=1"
2026/04/29 02:05:12 [error] 243662#243662: *1429 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/chats HTTP/1.1", upstream: "http://127.0.0.1:8084/api/chats", host: "localhost:8080", referrer: "http://localhost:3001/chats?chatId=1"
2026/04/29 02:05:15 [error] 243662#243662: *1431 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/chats HTTP/1.1", upstream: "http://127.0.0.1:8084/api/chats", host: "localhost:8080", referrer: "http://localhost:3001/chats?chatId=1"
2026/04/29 02:12:02 [error] 243662#243662: *1667 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/chats HTTP/1.1", upstream: "http://127.0.0.1:8084/api/chats", host: "localhost:8080", referrer: "http://localhost:3001/chats?chatId=1"
2026/04/29 02:12:05 [error] 243662#243662: *1669 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/chats HTTP/1.1", upstream: "http://127.0.0.1:8084/api/chats", host: "localhost:8080", referrer: "http://localhost:3001/chats?chatId=1"
2026/04/29 02:12:05 [error] 243662#243662: *1671 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/chats/1/messages?after=39&limit=50 HTTP/1.1", upstream: "http://127.0.0.1:8084/api/chats/1/messages?after=39&limit=50", host: "localhost:8080", referrer: "http://localhost:3001/chats?chatId=1"
